"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
hh_room_num,household_enrollment,"House structure",text,"What is the total number of division or compartments in your house?",,,integer,1,30,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_bedroom_num,household_enrollment,,text,"How many division or compartments are used to sleep in your house?",,,integer,0,30,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_roof_material,household_enrollment,,radio,"What is the main material used to construct the roof of your house?","0, Natural cover (Ex. Straw, palm leaf or grass) | 1, Rudimentary roofing (Ex. Rustic mat, rough wood planks or cardboard) | 2, Modern roofing (Ex. Zinc sheet, concrete,  ceramic, tiles) | 3, Other",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_roof_material_other,household_enrollment,,text,"If other roof material, please specify",,,,,,,"[hh_roof_material] = ""3""",y,,,,,
hh_wall_material,household_enrollment,,radio,"What is the main material of the exterior walls of your house?","0, Natural walls (Ex. Without wall, reed/twigs, leaves from palm tree, wood stakes ) | 1, Rudimentary walls (Ex. Bamboo, pressed wood, adobe stone, wood recycled, adobe-treated stakes, unburnt bricks, tin, cardboard) | 2, Modern walls (Ex. cement, stone with limestone/cement, bricks, cement blocks, adobe covered with cement, wood planks/slats, burnt bricks, zinc sheets) | 3, Other",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_wall_material_other,household_enrollment,,text,"If other, please specify",,,,,,,"[hh_wall_material] = ""3""",y,,,,,
hh_ac,household_enrollment,,radio,"Do you have an air conditioner or air cooler at home?","0, No | 1, Yes | 2, I don't know",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_fan,household_enrollment,,radio,"Do you use an exhaust fan in the house?","0, No | 1, Yes | 2, I don't know",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_amenities,household_enrollment,,checkbox,"Does your household have any of the following ?","0, Electricity | 1, Refrigerator/Freezer | 2, Radio | 3, Television | 4, None of the above","Select all that apply.",,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,," @NONEOFTHEABOVE='4'"
hh_transport,household_enrollment,,checkbox,"Does your household own any of the following means of transport?","0, Bicycle | 1, Motorcycle | 2, Car | 3, Tractor | 4, None of the above","Select all that apply.",,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,," @NONEOFTHEABOVE='4'"
hh_grazing,household_enrollment,,text,"How many grazing animals do you have in your home? ",,,integer,0,100,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_poultry,household_enrollment,,text,"How many poultry animals do you have in your home?",,,integer,0,100,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_pig,household_enrollment,,text,"How many pigs do you have in your home?",,,integer,0,100,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_improvements,household_enrollment,,radio,"Did you make any major improvements to the home in the last 12 months?","0, No | 1, Yes | 2, I don't know",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
animal_touch,household_enrollment,"Contact with animals",checkbox,"Does anyone in your household touch the following animals at least once per week?","0, Chickens, ducks, geese | 1, Cows, rabbit, pigs, goats, sheep | 2, Cats and dogs | 3, Rodent | 4, Primates | 5, Bats | 6, Antelope | 7, Other | 8, None of the above","Select all that apply.",,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,," @NONEOFTHEABOVE='8'"
animal_touch_other,household_enrollment,,text,"Please specify other",,,,,,,"[animal_touch(7)] = '1'",,,,,,
animal_injury,household_enrollment,,checkbox,"In the last month, has anyone in your household been injured (bitten or scratched or cut) by any of these animals?","0, Chickens, ducks, geese | 1, Cows, rabbits, pigs, goats, sheep | 2, Cats and dogs | 3, Rodent | 4, Primates | 5, Bats | 6, Antelope | 7, Other | 8, None of the above","Select all that apply.",,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,," @NONEOFTHEABOVE='8'"
animal_injury_other,household_enrollment,,text,"Please specify other",,,,,,,"[animal_injury(7)] = '1'",,,,,,
animal_cook,household_enrollment,,checkbox,"In the last month, has anyone in your household killed, sacrificed, or cooked any of these animals?","0, Chickens, ducks, geese | 1, Cows, rabbits, pigs, goats, sheep | 2, Cats and dogs | 3, Rodent | 4, Primates | 5, Bats | 6, Antelope | 7, Other | 8, None of the above",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,," @NONEOFTHEABOVE='8'"
animal_cook_other,household_enrollment,,text,"Please specify other",,,,,,,"[animal_cook(7)] = '1'",,,,,,
water_source,household_enrollment,"Water, Sanitation and Health",checkbox,"What is the source of water for members of your household for purposes such as cooking and handwashing?","0, Piped water (indoors, outside, in the yard, at neighbor's house) | 1, Public fountain water | 2, Protected dug well/hole water (with or without hand pump) | 3, Unprotected dug well | 4, Water from protected spring | 5, Water from unprotected spring | 6, Rainwater | 7, Lorry tank water/Water Tanker | 8, Water loaded in drums/barrels | 9, Surface water (River/Lake/Water Pan) | 10, Bottled or Packed Water/Mineral Water | 11, Other",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
water_source_other,household_enrollment,,text,"If other, please specify",,,,,,,"[water_source(11)]= '1'",y,,,,,
water_drink,household_enrollment,,checkbox,"What is the source of drinking water for members of your household?","0, Piped water (indoors, outside, in the yard, at neighbor's house) | 1, Public fountain water | 2, Protected dug well/hole water (with or without hand pump) | 3, Unprotected dug well | 4, Water from protected spring | 5, Water from unprotected spring | 6, Rainwater | 7, Lorry tank water/Water Tanker | 8, Water loaded in drums/barrels | 9, Surface water (River/Lake/Water Pan) | 10, Bottled or Packed Water/Mineral Water | 11, Other",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
water_drink_other,household_enrollment,,text,"If other, please specify",,,,,,,"[water_drink(11)] = ""1""",y,,,,,
water_purify,household_enrollment,,radio,"Does your household do anything to the water to make it safer to drink?","0, No | 1, Yes | 2, I don't know",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
water_purify_method,household_enrollment,,checkbox,"If yes, what does your household usually do to make the water safer to drink? (select multiple)","1, Boil | 2, Add bleach/chlorine | 3, Strain throug cloth | 4, Use water filter | 5, Solar disinfection | 6, Let it stand and settle | 7, Other | 8, I don't know/none of the above","Select all that apply.",,,,,"[water_purify] =""1""",y,,,,," @NONEOFTHEABOVE=""7"""
water_purify_method_other,household_enrollment,,text,"If other, please specify",,,,,,,"[water_purify_method(7)] = ""1""",y,,,,,
wash_hands_defecate,household_enrollment,,radio,"Do you wash your hands after helping a child defecate?","0, Never | 1, Rarely | 2, Sometimes | 3, Always | 4, Not applicable (does not help a child defecate)",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
wash_hands_food,household_enrollment,,radio,"Do members of your household wash their hands before touching food (Ex. cooking, preparing, before eating)?","0, Never | 1, Rarely | 2, Sometimes | 3, Always",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
wash_hands_toilet,household_enrollment,,radio,"Do members of your household wash their hands after using the toilet?","0, Never | 1, Rarely | 2, Sometimes | 3, Always",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_toilet,household_enrollment,,radio,"What kind of toilet facility do members of your household usually use?","0, Flush toilet | 1, Toilet without flush | 2, Improved latrine | 3, Improved traditional latrine | 4, Unimproved latrine | 5, Without toilet/latrine/bush/field | 6, Other",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_toilet_other,household_enrollment,,text,"If other, please specify",,,,,,,"[hh_toilet] = ""6""",y,,,,,
hh_toilet_location,household_enrollment,,radio,"Where is this toilet facility located?","0, Inside house | 1, Outside house but inside compound | 2, Elsewhere",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
child_stool_disposal,household_enrollment,,radio,"The last time the youngest child in your household passed stool, what was done to dispose of the stool?","0, Child used toilet | 1, Put into toilet or latrine | 2, Put into drain or ditch | 3, Thrown into garbage | 4, Buried | 5, Left it in the open | 6, Other | 7, I don't know | 8, Does not apply",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
child_stool_disposal_other,household_enrollment,,text,"If other, please specify",,,,,,,"[child_stool_disposal] = ""6""",y,,,,,
hh_smoking,household_enrollment,"Respiratory diseases",radio,"Does anyone in your household (including yourself) smoke tobacco products?","0, No | 1, Yes | 2, I don't know",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_cook,household_enrollment,,radio,"Do you cook food inside or outside the house?","0, Inside | 1, Outside | 2, Both",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_fuel,household_enrollment,,checkbox,"What do you use to cook food?","0, Biomass (Wood, Coal, Manure) | 1, Gas | 2, Electricity | 3, Other",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_fuel_other,household_enrollment,,text,"If other, please specify",,,,,,,"[hh_fuel(3)] = ""1""",y,,,,,
hh_asthma,household_enrollment,,radio,"Does anyone in your household have asthma?","0, No | 1, Yes | 2, I don't know",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_tb,household_enrollment,,radio,"Has anyone in your household been diagnosed with Tuberculosis (TB) in the past year?","0, No | 1, Yes | 2, I don't know",,,,,,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")",y,,,,,
hh_member_descriptive,household_member,,descriptive,"The following instrument will collect data on household members. This section should be answered by the household head. You should add an instance for each household member and answer all questions for each member. For example, if there are 10 household members, you should have 10 instances. ",,,,,,,,,,,,,
hh_member_hoh,household_member,,radio,"Are you interviewing the head of household?","0, No | 1, Yes",,,,,,,y,,,,,
hh_member_name,household_member,"List of household members (Repeat for each household member)",text,"What is the name or code name of this household member? ",,,,,,,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",y,,,,,
hh_member_id,household_member,,text,"What is the Perm ID of this member?",,,,,,,,y,,,,,
hh_member_sensor,household_member,,text,"If for aim 2, what is the sensor ID?",,,,,,,,,,,,,
hh_member_sex,household_member,,radio,"What is the sex of this household member?","0, Female | 1, Male | 2, Transsexual Female | 3, Transsexual Male | 4, Other",,,,,y,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",y,,,,,
hh_member_sex_other,household_member,,text,"If other, please specify:",,,,,,,"[hh_member_sex] = '4'",,,,,,
hh_member_age,household_member,,text,"How old is this household member (in years)?",,,,,,y,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",y,,,,,
hh_member_relationship,household_member,,radio,"How is this member related to you?","0, Spouse | 1, Sibling | 2, Child | 3, Grandparent | 4, Uncle/Aunt | 5, Grandchild | 6, Niece/Nephew | 7, Other Relative | 8, Not Related | 9, Not applicable (This is the Head of Household)",,,,,,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",y,,,,,
hh_member_relationship_other,household_member,,text,"Specify Other",,,,,,,"[hh_member_relationship] = '7'",,,,,,
share_room,household_member,,radio,"Does this household member share a room to sleep with anyone?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",y,,,,,
share_bed,household_member,,radio,"Does this household member share the same bed with anyone?","0, No | 1, Yes",,,,,,"([household_survey_arm_1][hh_member_hoh][current-instance] ='1') AND [share_room]='1'",y,,,,,
cook_food,household_member,,radio,"Does this person cook food for the household?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",y,,,,,
hh_member_hhform,household_member,,calc,"Number of household members reported",[hh_occupants],,,,,,,,,,,,
hh_member_instance,household_member,,calc,"Out of a total of [hh_member_hhform][first-instance] reported, you have entered information on following number of household members:",[current-instance],,,,,,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",,,,,,
enrollment_ind_description,enrollment,,descriptive,"The following instrument will collect data on the individual participant. This is the participant that has been selected to participate in the study. This section should be answered by the participant. ",,,,,,,,,,,,,
date_enrolled,enrollment,,text,"Date participant signed consent",,,date_dmy,2020-07-01,2021-12-31,,,y,,,,,
name,enrollment,"Personal details",text,"Full Name",,"If answering for child, respond for child.",,,,y,,y,,,,,
sensor_id,enrollment,,text,"If for aim 2, what is the sensor ID?",,,,,,,,,,,,,
sex,enrollment,,radio,Sex,"0, Female | 1, Male | 2, Transsexual Female | 3, Transsexual Male | 4, Other","If answering for child, respond for child.",,,,y,,y,,,,,
sex_other,enrollment,,text,"Other gender",,"If answering for child, respond for child.",,,,y,"[sex] = ""4""",y,,,,,
age,enrollment,,text,"Please let me know your age (in years).",,"If answering for child, respond for child.",number,0,100,y,,y,,,,,
read_write,enrollment,,radio,"Can the participant read and write on their own?","0, No | 1, Yes",,,,,,,y,,,,,
address,enrollment,"Personal contact information",notes,"Where do you live: Street, Location, etc",,"If answering for child, respond for child.",,,,y,,y,,,,,
telephone,enrollment,,radio,"Do you have a telephone or access to a telephone?","0, No | 1, Yes","This can be the participant's phone or any other person's phone through which the participant can be reached e.g. a neighbor or friend.",,,,,,y,,,,,
telephone_1,enrollment,,text,"Please give us a telephone number on which we can reach you. ",,"If answering for child, respond for child. If child does not have a phone number, enter number of parent or guardian",integer,,,y,"[telephone] = '1'",y,,,,,
occupation,enrollment,"School and work.",checkbox,"What is your current occupation?","0, Unemployed | 1, Student | 2, Office worker | 3, Business person | 4, Casual labor | 5, Farmer | 6, Fishing | 7, Retired | 8, Homemaker/ Housewife | 9, Other",,,,,,"[age] > 6",y,,,,," @NONEOFTHEABOVE='0'"
occupation_other,enrollment,,text,"What is your current occupation, if other?",,,,,,,"[occupation(9)]=""1""",y,,,,,
enrolled_school,enrollment,,radio,"Are you currently enrolled in school?","0, No | 1, Yes","If answering for child, respond for child.",,,,,"[age] > 6",y,,,,,
school_level,enrollment,,radio,"What school level are you in?","0, No schooling | 1, Primary school (1-7) | 2, Basic Secondary school (8-10) | 3, Middle Secondary (11-12) | 4, 1-3 years of college/university | 5, Bachelors | 6, More than Bachelors","If answering for child, respond for child.",,,,,"[enrolled_school]=""1""",y,,,,,
highest_educ,enrollment,,radio,"What is the highest level of education that you have attained?","0, No schooling | 1, Primary school (1-7) | 2, Basic Secondary school (8-10) | 3, Middle Secondary (11-12) | 4, 1-3 years of college/university | 5, Bachelors | 6, More than Bachelors","If answering for child, respond for child",,,,,[enrolled_school]=0,y,,,,,
transport_use,enrollment,"Transport use",radio,"How often did you use mass transport in the past 3 months?","0, Never | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, 1 time per month","If answering for child, respond for child.",,,,,,y,,,,,
hh_resp_exposure,enrollment,,radio,"Were you exposed to persons with respiratory complaints within your household in the past one week?","0, No | 1, Yes | 2, I don't know",,,,,,,y,,,,,
child,enrollment,"Children's section",radio,"Do you have a infant ?","0, No | 1, Yes | 2, Not applicable",,,,,,"[age] > 10 and [sex] = ""0""",,,,,,
child_breastfeed,enrollment,,radio,"Are you breastfeeding?","0, No | 1, Yes | 2, Not applicable",,,,,,"[age] > 10 and [sex] = ""0"" and [child]=""1""",y,,,,,
child_breastfeed2,enrollment,,radio,"If no, please specify when you stopped breastfeeding your infant:","0, Never breastfeed | 1, Before completing 1 month of life | 2, Before completing 3 moths of life | 3, Before completing 6 months of life | 4, Between 6 and 9 months of life | 5, Between 9 and 12 months of life | 6, Not applicable",,,,,,"[child_breastfeed] = ""0"" and [age] > 10",,,,,,
child_breastfeed3,enrollment,,checkbox,"List the food (or drinks) that you child drinks regularly (at least 2 times/month): ","0, Exclusively breast milk | 1, Other types of milk | 2, Water | 3, Tea or juice | 4, Veggies | 5, Fruit | 6, Sugar | 7, Traditional Herbs | 8, Rice, Porridge | 9, Other | 10, Not applicable",,,,,,"[age] > 10 and [sex] = ""0"" and [child]=""1""",,,,,,
child_breastfeed3_other,enrollment,,text,"Specify other:",,,,,,,"[child_breastfeed3(9)] = '1'",,,,,,
num_sibling,enrollment,,text,"How many siblings do you have? (Sibling is defined as any sibling from either the mother or the father's side)",,"If answering for child, respond for child.",integer,0,30,,[age]<18,y,,,,,
day1_meta_descriptive,contact_day_1_metadata,,descriptive,"The following instrument will collect data on overall contact information for day 1 of the diary. This section should be answered by the participant after two days of diary-keeping. ",,,,,,,,,,,,,
shadow_description_d1,contact_day_1_metadata,"Day 1",descriptive,"Shadow: Someone who keeps records on behalf of the participant. For those that are unable to read and write, a shadow is a person who will record the contacts of the participants in the paper diary on behalf of the participant. For children <10 years, the shadow will be someone who spends time throughout the day with the child and is able to accurately record the contacts of the child.",,,,,,,,,,,,,
shadow_d1,contact_day_1_metadata,,radio,"Who recorded the contact details in the paper dairy?","0, Participant | 1, Shadow (person who will help)",,,,,,,,,,,,
shadow_name,contact_day_1_metadata,,text,"Name of the Shadow",,,,,,,"[shadow_d1]=""1""",,,,,,
shadow_age_d1,contact_day_1_metadata,,text,"If the participant requires a shadow, what is the shadow's age?",,,integer,0,100,,"[shadow_d1] = '1'",y,,,,,
shadow_gender_d1,contact_day_1_metadata,,radio,"If the participant requires a shadow, what is the sex of the shadow?","0, Female | 1, Male | 2, Transsexual Female | 3, Transsexual Male | 4, Other",,,,,,"[shadow_d1] = '1'",y,,,,,
shadow_gender_other_d1,contact_day_1_metadata,,text,"Specify other:",,,,,,,"[shadow_gender_d1] = '4'",,,,,,
shadow_relationship_d1,contact_day_1_metadata,,radio,"If the participant requires a shadow, what is the relationship between participant and shadow?","0, Spouse | 1, Sibling | 2, Child | 3, Grandparent | 4, Uncle/Aunt | 5, Grandchild | 6, Niece/Nephew | 7, Other",,,,,,"[shadow_d1] = '1'",y,,,,,
shadow_relationship_other_d1,contact_day_1_metadata,,text,"Please specify other",,,,,,,"[shadow_relationship_d1]= ""7""",,,,,,
interview_date_d1,contact_day_1_metadata,,text,"Interview Date",,,date_dmy,2020-07-01,2021-12-31,,,y,,,,,
survey_date_d1,contact_day_1_metadata,,text,"What was the date for first day of contact diary?",,DD-MM-YYYY,date_dmy,2020-07-01,2021-12-31,,,y,,,,,
survey_day_d1,contact_day_1_metadata,,radio,"What was the day of week for the first day of contact diary?","1, Monday | 2, Tuesday | 3, Wednesday | 4, Thursday | 5, Friday | 6, Saturday | 7, Sunday",,,,,,,y,,,,,
aim_day1,contact_day_1_metadata,"Contact diary day 1",radio,"Aim 1 or Aim 2?","0, Aim 1 | 1, Aim 2",,,,,,,,,,,,
hh_day1,contact_day_1_metadata,,yesno,"Are you the head of the household?",,,,,,,"[aim_day1] = '1'",,,,,,
num_contact_aim1_d1,contact_day_1_metadata,,text,"How many individuals did you contact (either physical or non-physical) on day 1 of the assigned survey days?",,"If answering for child, respond for child.",integer,0,,,"[hh_day1] = '1' or [aim_day1] = '0'",y,,,,,
num_contact_nonhh_aim1_d1,contact_day_1_metadata,,text,"Of the [num_contact_aim1_d1] you contacted on day 1 of the assigned survey days, how many of these were non-household members?",,,integer,0,,,"[hh_day1] = '1' or [aim_day1] = '0'",y,,,,,
num_contact_aim2_d1,contact_day_1_metadata,,text,"How many individuals did you contact (either physical or non-physical) on day 1 of the assigned survey days?",,,,,,,"[hh_day1] = '0'",,,,,,
num_contact_nonhh_aim2_d1,contact_day_1_metadata,,text,"Of the [num_contact_d1] you contacted on day 1 of the assigned survey days, how many of these were non-household members?",,,,,,,"[hh_day1]=""1""",,,,,,
contact_id_d1_hh_1,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][1]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 1",y,,,,,
touch_contact_d1_hh_1,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_1]=""1""",y,,,,,
where_contact_d1_hh_1,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_1]=""1""",y,,,,,
location_contact_d1_hh_1,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_1]=""1""",y,,,,,
location_contact_other_d1_1,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_1(12)]=""1""",y,,,,,
contact_mask_d1_hh_1,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_1]=""1""",y,,,,,
duration_contact_d1_hh_1,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_1]=""1""",y,,,,,
frequency_contact_d1_hh_1,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_1]=""1""",y,,,,,
known_contact_d1_hh_1,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_1]=""1""",y,,,,,
contact_id_d1_hh_2,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][2]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 2",y,,,,,
touch_contact_d1_hh_2,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_2]=""1""",y,,,,,
where_contact_d1_hh_2,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_2]=""1""",y,,,,,
location_contact_d1_hh_2,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_2]=""1""",y,,,,,
location_contact_other_d1_2,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_2(12)]=""1""",y,,,,,
contact_mask_d1_hh_2,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_2]=""1""",y,,,,,
duration_contact_d1_hh_2,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_2]=""1""",y,,,,,
frequency_contact_d1_hh_2,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_2]=""1""",y,,,,,
known_contact_d1_hh_2,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_2]=""1""",y,,,,,
contact_id_d1_hh_3,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][3]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 3",y,,,,,
touch_contact_d1_hh_3,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_3]=""1""",y,,,,,
