"","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
"13","hh_head_gender_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique o outro sexo",NA,NA,NA,NA,NA,NA,"[hh_head_gender] = '4'",NA,NA,NA,NA,NA,NA
"14","hh_occupants","informaes_de_agregado_familiar_e_casa","Características do agregado","text","Quantas pessoas vivem no seu agregado familiar, incluindo você?",NA,NA,"integer","0","30",NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"15","hh_slept","informaes_de_agregado_familiar_e_casa",NA,"text","Quantas pessoas dormiram nesta casa na última noite?",NA,NA,"integer","0","30",NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"16","hh_room_num","informaes_de_agregado_familiar_e_casa","Na estrutura da casa","text","Qual é o número total de divisões ou compartimientos de casa?",NA,NA,"integer","1","30",NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"17","hh_bedroom_num","informaes_de_agregado_familiar_e_casa",NA,"text","Quantas divisões ou compartimentos são usados para dormir na sua casa?",NA,NA,"integer","0","30",NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"18","hh_roof_material","informaes_de_agregado_familiar_e_casa",NA,"radio","Qual é o principal material de o tetcto da sua casa?","0, Cobertura natural (Ex. Palha, folha de palmeira ou capim) | 1, Cobertura rudimentar (Ex. tapete rustico, tabuas de madeira rustica ou papelão) | 2, Cobertura moderna (Ex. chapa de zinco, betão, cerâmica, telhas) | 3, Outro",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"19","hh_roof_material_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique o outro material",NA,NA,NA,NA,NA,NA,"[hh_roof_material] = ""3""","y",NA,NA,NA,NA,NA
"20","hh_wall_material","informaes_de_agregado_familiar_e_casa",NA,"radio","Qual é o principal material de paredes da sua casa?","0, Paredes naturais (Ex. Sem parede, caniço, folhas de palmeira, estacas) | 1, Paredes rudimentares (Ex. Bambu, madeira prensada, adobe, pedra maticada com adobe, madeira reciclada, estacas maticadas com adobe, tijolos não queimados, lata, papelão) | 2, Paredes modernas (Ex. Cimento, pedra com cal / cimento, tijolos, blocos de cimento, adobe coberto com cimento, tabuas de/ripas de madeira, tijolos queimados, paredes de chapas de zinco) | 3, Outro",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"21","hh_wall_material_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique o outro material",NA,NA,NA,NA,NA,NA,"[hh_wall_material] = ""3""","y",NA,NA,NA,NA,NA
"22","hh_ac","informaes_de_agregado_familiar_e_casa",NA,"radio","Tem algum ar condicionado ou um refrigerador de ar na sua casa?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"23","hh_fan","informaes_de_agregado_familiar_e_casa",NA,"radio","Usa algum exaustor na sua casa?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"24","hh_amenities","informaes_de_agregado_familiar_e_casa",NA,"checkbox","O seu agregado tem qual dos seguintes bens?","0, Electricidade | 1, Refrigerador/Geleira | 2, Rádio | 3, Televisor | 4, Nenhum dos indicados acima","Selecciona todas as que se aplicam",NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,"@NONEOFTHEABOVE = '4'"
"25","hh_transport","informaes_de_agregado_familiar_e_casa",NA,"checkbox","O seu agregado possui um dos seguintes bens de transporte?","0, Bicicleta | 1, Motociclo | 2, Carro | 3, Tractor | 4, Nenhum dos indicados acima","Selecciona todas as que se aplicam",NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,"@NONEOFTHEABOVE = '4'"
"26","hh_grazing","informaes_de_agregado_familiar_e_casa",NA,"text","Número de animais de pastagem que o seu agregado tem?",NA,NA,"number","0",NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"27","hh_poultry","informaes_de_agregado_familiar_e_casa",NA,"text","Número de aves que o seu agregado tem?",NA,NA,"integer","0",NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"28","hh_pig","informaes_de_agregado_familiar_e_casa",NA,"text","Número de porcos que o seu agregado tem?",NA,NA,"integer","0",NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"29","hh_improvements","informaes_de_agregado_familiar_e_casa",NA,"radio","Você fez algumas melhorias no seu agregado (casa) nos últimos 12 meses?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"30","animal_touch","informaes_de_agregado_familiar_e_casa","Contacto com animais","checkbox","Algum membro do seu agregado tocou um dos seguintes animais pelo menos uma vez por semana?","0, Galinhas, patos, gansos | 1, Bois, coelhos, porcos, cabritos, e ovelhas | 2, Gatos ou cães | 3, Roedores | 4, Macacos | 5, Morcegos | 6, Antílopes | 7, Outro | 8, Não aplicável","Selecciona todas as que se aplicam",NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,"@NONEOFTHEABOVE='8'"
"31","animal_touch_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especificar o outro",NA,NA,NA,NA,NA,NA,"[animal_touch(7)] = '1'",NA,NA,NA,NA,NA,NA
"32","animal_injury","informaes_de_agregado_familiar_e_casa",NA,"checkbox","Algum membro do seu agregado foi ferido (mordido, cortado ou arranhado) por qualquer um desses animais no último mês?","0, Galinhas, patos, gansos | 1, Bois, coelhos, porcos, cabritos, e ovelhas | 2, Gatos ou cães | 3, Roedores | 4, Macacos | 5, Morcegos | 6, Antílopes | 7, Outro | 8, Não aplicável","Selecciona todas as que se aplicam",NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,"@NONEOFTHEABOVE  = '8'"
"33","animal_injury_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especificar o outro",NA,NA,NA,NA,NA,NA,"[animal_injury(7)] = '1'",NA,NA,NA,NA,NA,NA
"34","animal_cook","informaes_de_agregado_familiar_e_casa",NA,"checkbox","Algum membro do seu agregado matou, sacrificou ou cozinhou qualquer um desses animais no último mês?","0, Galinhas, patos, gansos | 1, Bois, coelhos, porcos, cabritos, e ovelhas | 2, Gatos ou cães | 3, Roedores | 4, Macacos | 5, Morcegos | 6, Antílopes | 7, Outro | 8, Não aplicável",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,"@NONEOFTHEABOVE = '8'"
"35","animal_cook_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especificar o outro",NA,NA,NA,NA,NA,NA,"[animal_cook(7)] = '1'",NA,NA,NA,NA,NA,NA
"36","water_source","informaes_de_agregado_familiar_e_casa","Água, Saneamento e Saúde","checkbox","Qual é a fonte(s) de água para cozinhar e lavar as mãos no seu agregado?","0, Água canalizada (dentro de casa, fora de casa/quintal/na casa do vizinho) | 1, Água da fontanária/toneira publica | 2, Água do furo/poço protegido (com ou sem bomba) | 3, Água do poço não protegido | 4, Água da nascente protegida | 5, Água da nascente não protegida | 6, Água da chuva | 7, Água do tanque do camião | 8, Água carregada em tambores | 9, Água da superfície (rios/lago/lagoa) | 10, Água mineral/água engarrafada | 11, Outro",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"37","water_source_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique a outra fonte",NA,NA,NA,NA,NA,NA,"[water_source(11)]= '1'","y",NA,NA,NA,NA,NA
"38","water_drink","informaes_de_agregado_familiar_e_casa",NA,"checkbox","Qual é a fonte(s) de água para beber no seu agregado?","0, Água canalizada (dentro de casa, fora de casa/quintal/na casa do vizinho) | 1, Água da fontanária/toneira publica | 2, Água do furo/poço protegido (com ou sem bomba) | 3, Água do poço não protegido | 4, Água da nascente protegida | 5, Água da nascente não protegida | 6, Água da chuva | 7, Água do tanque do camião | 8, Água carregada em tambores | 9, Água da superfície (rios/lago/lagoa) | 10, Água mineral/água engarrafada | 11, Outro",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"39","water_drink_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique a outra fonte",NA,NA,NA,NA,NA,NA,"[water_drink(11)] = ""1""","y",NA,NA,NA,NA,NA
"40","water_purify","informaes_de_agregado_familiar_e_casa",NA,"radio","O seu agregado faz algum tratamento para tornar a água segura para beber?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"41","water_purify_method","informaes_de_agregado_familiar_e_casa",NA,"checkbox","Se sim, o que o seu agregado familiar costuma fazer para tornar água segura para beber?","1, Ferve | 2, Adiciona lixívia/cloro | 3, Filtra com um pano | 4, Usa filtro de água | 5, Desinfeção solar | 6, Deixa repousar e assentar | 7, Outro | 8, Não sabe","Selecciona todas as que se aplicam",NA,NA,NA,NA,"[water_purify] =""1""","y",NA,NA,NA,NA,"@NONEOFTHEABOVE = ""8"""
"42","water_purify_method_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especique outro método",NA,NA,NA,NA,NA,NA,"[water_purify_method(7)] = ""1""","y",NA,NA,NA,NA,NA
"43","wash_hands_defecate","informaes_de_agregado_familiar_e_casa",NA,"radio","Tem lavado as mãos depois de colocar uma criança para defecar?","0, Nunca | 1, Raramente | 2, Algumas vezes | 3, Sempre | 4, Não aplicável (não ajude a criança a defecar)",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,"@NONEOFTHEABOVE='4'"
"44","wash_hands_food","informaes_de_agregado_familiar_e_casa",NA,"radio","Os membros do seu agregado lavam as mãos antes de tocar nos alimentos (por exemplo, cozinhar, preparar, antes de comer)?","0, Nunca | 1, Raramente | 2, Algumas vezes | 3, Sempre",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"45","wash_hands_toilet","informaes_de_agregado_familiar_e_casa",NA,"radio","Os membros do seu agregado lavam as mãos depois de usarem a casa de banho?","0, Nunca | 1, Raramente | 2, Algumas vezes | 3, Sempre",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"46","hh_toilet","informaes_de_agregado_familiar_e_casa",NA,"radio","Que tipo de latrina o os membros do seu agregado geralmente usam?","0, Sanita com autoclismo | 1, Sanita sem autoclismo | 2, Latrina melhorada | 3, Latrina tradicional melhorada | 4, Latrina não melhorada | 5, Sem latrina/arbusto/mato | 6, Outro",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"47","hh_toilet_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique outro",NA,NA,NA,NA,NA,NA,"[hh_toilet] = ""6""","y",NA,NA,NA,NA,NA
"48","hh_toilet_location","informaes_de_agregado_familiar_e_casa",NA,"radio","Onde esta localizada a latrina?","0, Na própria casa | 1, Fora de casa, mas dentro do quintal | 2, Em outro lugar",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"49","hh_toilet_location_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique outro",NA,NA,NA,NA,NA,NA,"[hh_toilet_location] = '2'",NA,NA,NA,NA,NA,NA
"50","child_stool_disposal","informaes_de_agregado_familiar_e_casa",NA,"radio","Da última vez que a criança mais nova da sua casa defecou, o que foi feito para descartar?","0, A criança usou a casa de banho | 1, Pôs na latrina | 2, Pôs na vala | 3, Deitou na lixeira | 4, Enterrado | 5, Deixou no ar livre | 6, Outro | 7, Não sabe | 8, Não aplicável",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,"@NONEOFTHEABOVE= ""8"""
"51","child_stool_disposal_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique outro",NA,NA,NA,NA,NA,NA,"[child_stool_disposal] = ""6""","y",NA,NA,NA,NA,NA
"52","hh_smoking","informaes_de_agregado_familiar_e_casa","Doenças respiratórias","radio","Algum membro do seu agregado (incluindo você) fuma productos do tabaco?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"53","hh_cook","informaes_de_agregado_familiar_e_casa",NA,"radio","Cozinham dentro ou fora de casa?","0, Dentro | 1, Fora | 2, Ambos",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"54","hh_fuel","informaes_de_agregado_familiar_e_casa",NA,"checkbox","O que vocês usam para cozinhar?","0, Biomassa (lenha, carvão, esterco) | 1, Gás | 2, Electricidade | 3, Outro",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"55","hh_fuel_other","informaes_de_agregado_familiar_e_casa",NA,"text","Especifique outro",NA,NA,NA,NA,NA,NA,"[hh_fuel(3)] = ""1""","y",NA,NA,NA,NA,NA
"56","hh_asthma","informaes_de_agregado_familiar_e_casa",NA,"radio","Algum membro do seu agregado familiar tem sofrido actualmente de asma?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"57","hh_tb","informaes_de_agregado_familiar_e_casa",NA,"radio","Alguém do seu agregado familiar foi diagnostico Tuberculose (TB) no último ano?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,"([household_survey_arm_1][aim] = ""0"") or ([household_survey_arm_1][hh]= ""1"")","y",NA,NA,NA,NA,NA
"58","hh_member_descriptive","informaes_sobre_os_membros_da_famlia",NA,"descriptive","O questionário a seguir colherá dados dos membros do seu agregado familiar. Esta secção deverá ser respondida pelo chefe do agregado familiar. Deves adicionar uma instância para cada membro do agregado familiar e fazer questões para cada membro do agregado. Por exemplo, se existem 10 membros do agregado deverás ter 10 instâncias.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","hh_member_hoh","informaes_sobre_os_membros_da_famlia",NA,"radio","Você está entrevistando o chefe do agregado (ou um representante) ?","0, Não | 1, Sim",NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"60","hh_member_name","informaes_sobre_os_membros_da_famlia","Lista de membros do agregado (Repita para cada membro do agregado)","text","Qual é o nome deste membro do agregado?",NA,NA,NA,NA,NA,NA,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",NA,NA,NA,NA,NA,NA
"61","hh_member_id","informaes_sobre_os_membros_da_famlia",NA,"text","Qual é o Perm ID deste membro do agregado?",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"62","hh_member_sensor","informaes_sobre_os_membros_da_famlia",NA,"text","Para objectivo 2, qual é o ID de sensor?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","hh_member_sex","informaes_sobre_os_membros_da_famlia",NA,"radio","Qual é o sexo deste membro do agregado?","0, Feminino | 1, Masculino | 2, Mulher Transsexual | 3, Homem Transsexual | 4, Outro",NA,NA,NA,NA,"y","[household_survey_arm_1][hh_member_hoh][current-instance] ='1'","y",NA,NA,NA,NA,NA
"64","hh_member_sex_outro","informaes_sobre_os_membros_da_famlia",NA,"text","Especifique outro",NA,NA,NA,NA,NA,NA,"[hh_member_sex] = '4'",NA,NA,NA,NA,NA,NA
"65","hh_member_age","informaes_sobre_os_membros_da_famlia",NA,"text","Quantos anos tem este membro do agregado ?",NA,NA,"integer","0","100","y","[household_survey_arm_1][hh_member_hoh][current-instance] ='1'","y",NA,NA,NA,NA,NA
"66","hh_member_relationship","informaes_sobre_os_membros_da_famlia",NA,"radio","Qual é a sua relação com o membro?","0, Esposa/o | 1, Irmã/o | 2, Filho/a | 3, Mãe/Pai | 4, Avó/ô | 5, Tio/a | 6, Neto/a | 7, Sobrino/a | 8, Outro parente | 9, Não relacionado | 10, Não aplicável (é o próprio chefe da agregado)",NA,NA,NA,NA,NA,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'","y",NA,NA,NA,NA,NA
"67","hh_member_relationship_other","informaes_sobre_os_membros_da_famlia",NA,"text","Especifique o outro",NA,NA,NA,NA,NA,NA,"[hh_member_relationship] = '8'","y",NA,NA,NA,NA,NA
"68","share_room","informaes_sobre_os_membros_da_famlia",NA,"radio","O membro dorme no mesmo quarto com mais alguém?","0, Não | 1, Sim",NA,NA,NA,NA,NA,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'","y",NA,NA,NA,NA,NA
"69","share_bed","informaes_sobre_os_membros_da_famlia",NA,"radio","O membro dorme na mesma cama com mais alguém?","0, Não | 1, Sim",NA,NA,NA,NA,NA,"([household_survey_arm_1][hh_member_hoh][current-instance] ='1') AND [share_room] = ""1""","y",NA,NA,NA,NA,NA
"70","cook_food","informaes_sobre_os_membros_da_famlia",NA,"radio","Este  membro do agregado tem cozinhado para o agregado?","0, Não | 1, Sim",NA,NA,NA,NA,NA,"([household_survey_arm_1][hh_member_hoh][current-instance] ='1') AND ([hh_member_age] > 6)","y",NA,NA,NA,NA,NA
"71","hh_member_hhform","informaes_sobre_os_membros_da_famlia",NA,"calc","Número de membros do agregado relatados","[hh_occupants]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","hh_member_instance","informaes_sobre_os_membros_da_famlia",NA,"calc","De um total de [hh_member_hhform][first-instance] relatado, você inseriu informações sobre o seguinte número de membros do agregado:","[current-instance]",NA,NA,NA,NA,NA,"[household_survey_arm_1][hh_member_hoh][current-instance] ='1'",NA,NA,NA,NA,NA,NA
"73","enrollment_ind_description","inscrio",NA,"descriptive","O questionário a seguir colherá dados do participante do estudo. Este é o participante que foi seleccionado para fazer parte do estudo.  Esta secção deverá ser respondida pelo participante do estudo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","date_enrolled","inscrio","Inclusão, consentimento, e dados pessoais (Se for uma criança o tutor deve responder por ela)","text","Data da assinatura do consentimento informado do participante do estudo",NA,NA,"date_dmy","2020-07-01","2021-12-31",NA,NA,"y",NA,NA,NA,NA,NA
"75","name","inscrio",NA,"text","Nome completo",NA,"Se for responsável pela criança, responda por ela.",NA,NA,NA,"y",NA,"y",NA,NA,NA,NA,NA
"76","sensor_id","inscrio",NA,"text","Para objectivo 2, qual é o ID de sensor?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","sex","inscrio",NA,"radio","Sexo","0, Feminino | 1, Masculino | 2, Mulher Transsexual | 3, Homem Transsexual | 4, Outro","Se for responsável pela criança, responda por ela.",NA,NA,NA,"y",NA,"y",NA,NA,NA,NA,NA
"78","sex_other","inscrio",NA,"text","Outro especifique",NA,"Se for responsável pela criança, responda por ela.",NA,NA,NA,"y","[sex] = ""4""","y",NA,NA,NA,NA,NA
"79","birthdate","inscrio",NA,"text","Qual é a sua data de nascimento? (DD-MM-YYYY)",NA,NA,"date_dmy",NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"80","age","inscrio",NA,"text","Por favor, indique a sua idade (anos)",NA,"Se for responsável pela criança, responda por ela.","integer","0","110","y",NA,"y",NA,NA,NA,NA,NA
"81","read_write","inscrio",NA,"radio","O participante pode ler e escrever por conta própria?","0, Não | 1, Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","address","inscrio","Contactos de informação pessoal","notes","Onde você vive (bairro, rua, etc.) ?",NA,"Se for responsável pela criança, responda por ela.",NA,NA,NA,"y",NA,"y",NA,NA,NA,NA,NA
"83","telephone","inscrio",NA,"radio","Você tem telefone ou acesso ao telefone?","0, Não | 1, Sim","Pode ser telefone celular ou telefone duma outra pessoa, através do qual o participante pode ser encontrado; ex. um vizinho ou amigo)",NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"84","telephone_1","inscrio",NA,"text","Por favor, forneça-nos o número de telefone através do qual podemos contactar-lhe.",NA,"Se for responsável pela criança, responda por ela.",NA,NA,NA,"y","[telephone] = '1'","y",NA,NA,NA,NA,NA
"85","occupation","inscrio","Trabalho e Escola","checkbox","Qual é a sua ocupação actual?","0, Desempregado | 1, Estudante | 2, Trabalho formal | 3, Negociante | 4, Trabalho casual | 5, Agricultor | 6, Pescador | 7, Reformado | 8, Domestico | 9, Outro",NA,NA,NA,NA,NA,"[age] > 6","y",NA,NA,NA,NA,NA
"86","occupation_other","inscrio",NA,"text","Especifique o outra",NA,NA,NA,NA,NA,NA,"[occupation(9)] = '1'","y",NA,NA,NA,NA,NA
"87","enrolled_school","inscrio",NA,"radio","Você está actualmente matriculado na escola?","0, Não | 1, Sim","Se for responsável pela criança, responda por ela.",NA,NA,NA,NA,"[age] > 6","y",NA,NA,NA,NA,NA
"88","highest_educ","inscrio",NA,"radio","Qual é a classe mais alta que você concluiu?","0, Sem escolaridade | 1, Primário (1-7 classe) | 2, Secundário básico (8-10 classe) | 3, Secundário médio (11-12 classe) | 4, Bacharelado (1-3 anos na universidade) | 5, Licenciatura | 6, Pós-graduação","Se for responsável pela criança, responda por ela.",NA,NA,NA,NA,"[enrolled_school]=""0""","y",NA,NA,NA,NA,NA
"89","school_level","inscrio",NA,"radio","Em qual classe você está?","0, Sem escolaridade | 1, Primário (1-7 classe) | 2, Secundário básico (8-10 classe) | 3, Secundário médio (11-12 classe) | 4, Bacharelado (1-3 anos na universidade) | 5, Licenciatura | 6, Pós-graduação","Se for responsável pela criança, responda por ela.",NA,NA,NA,NA,"[enrolled_school] = ""1""","y",NA,NA,NA,NA,NA
"90","transport_use","inscrio",NA,"radio","Quantas vezes usou transporte público nos últimos 3 meses?","0, Nunca (0) | 1, Raramente | 2, Diariamente ou quase diariamente | 3, 1-3 vezes por semana | 4, Uma vez a cada 2 semanas | 5, Uma vez por mês","Se for responsável pela criança, responda por ela.",NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"91","hh_resp_exposure","inscrio",NA,"radio","Esteve em contacto com alguém que se queixava de problemas respiratórios no seu agregado na última semana?","0, Não | 1, Sim | 2, Não sabe",NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"92","child","inscrio",NA,"radio","Você tem um bebe?","0, Não | 1, Sim | 2, Não aplica",NA,NA,NA,NA,NA,"[age] > 10 and [sex] = 0",NA,NA,NA,NA,NA,NA
"93","child_breastfeed","inscrio",NA,"radio","Você esta dando peito ao bebe?","0, Não | 1, Sim | 2, Não aplica",NA,NA,NA,NA,NA,"[age] > 10 and [sex] = ""0"" and [child] = ""1""","y",NA,NA,NA,NA,NA
